Title,URL,Image,Author,Date,Category,Description,ArticleBody
"ChatGPT Users Face Widespread Outage Globally, Including India",https://inc42.com/buzz/chatgpt-users-face-widespread-outage-globally-including-india/,https://inc42.com/cdn-cgi/image/quality=75/https://asset.inc42.com/2025/06/chatgpt-India-featured--490x367.png,Kartikay K.,"10th June, 2025",News,"Open AI’s GenAI chatbot ChatGPT is down for thousands of users across the globe, including India. Users across the world reported an outage.","Open AI’s GenAI chatbot ChatGPT is down for thousands of users across the globe, including India. Users across the world reported about the disruption somewhere around 12 PM. According to outage tracker website Downdetector, around 4,740 Indian users have complained that they are unable to use the ChatGPT. Indian users reported that after writing a prompt on OpenAI's GenAI chatbot, an error pops up saying “Something went wrong while generating the response.” In India, 88% of users have said that they are facing problems with the GenAI chatbot. OpenAI has acknowledged the issue and said that it is investigating problems with its ChatGPT platform, APIs and the AI image generation tool Sora. “Some users are experiencing elevated error rates and latency across the listed services. We are continuing to investigate this issue,” OpenAI said in a status report. The report further mentions that users have been experiencing the issue since the last five hours. (The story will be updated soon)"
"BigBasket Launches 10-Minute Food Delivery Service To Take On Blinkit, Zepto",https://inc42.com/buzz/bigbasket-to-launch-10-minute-food-delivery-service-to-take-on-blinkit-zepto/,https://inc42.com/cdn-cgi/image/quality=75/https://asset.inc42.com/2024/09/bigbasket-B2B-FY24-featured-490x367.png,Lokesh C.,"10th June, 2025",Consumer Services,BigBasket is planning to launch its 10-minute food delivery service across India by the end of financial year ending March 2026,"Tata-owned BigBasket is planning to launch its 10-minute food delivery service across India by the end of financial year ending March 2026 (FY26). The company is currently piloting the service in Bengaluru and will scale it to 40 dark stores by July, its cofounder Vipul Parekh told Reuters. The company plans to leverage its dark store network for its food delivery service. Parekh said it plans to increase its overall dark store count to about 1,000 to 1,200 by the end of 2025 from 700 currently. Notably, BigBasket’s quick food delivery service will include menu items from Tata group brands like Starbucks and Qmin. However, it will not partner with external restaurants. With the move, BigBasket will take on the likes of Swiggy’s SNACC, Blinkit’s Bistro, and Zepto Cafe. The cofounder said that the quick commerce platform will target customers of food delivery firms like Zomato and Swiggy, along with unlocking new customers, with the launch of the new service. Parekh also denied reports of an external fundraise, reaffirming plans for an IPO within 18-24 months. “Being part of the Tata Group, there’s enough internal capital,” he was quoted as saying. (The story will be updated soon)"
Wow! Momo Raises INR 85 Cr Debt From Stride Ventures,https://inc42.com/buzz/wow-momo-raises-inr-85-cr-debt-from-stride-ventures/,https://inc42.com/cdn-cgi/image/quality=75/https://asset.inc42.com/2025/04/wow-momo-funding-featured-490x367.png,Bhupendra P.,"10th June, 2025",Foodtech,Wow! Momo’s net loss remained almost flat at INR 114.4 Cr in FY24 from INR 113.8 Cr in the previous fiscal year,"Kolkata-based QSR chain Wow! Momo has raised INR 85 Cr (around $9.9 Mn) debt from Stride Ventures as it looks to strengthen its omnichannel strategy and expand presence in the FMCG vertical. Additionally, Wow! Momo also plans to expand the footprint of its dine-in vertical. Founded by Binod Kumar Homagai, Sagar Daryani and Shah Miftaur Rahman in 2008, Wow! Momo is a quick-service restaurant (QSR) chain with more than 630 outlets in over 35 cities. The startup, which competes against the likes of Rebel Foods, Curefoods and EatClub in the restaurant and cloud kitchen segments, is also targeting 100 more cities over the next three years. Wow! Momo’s net loss remained almost flat at INR 114.4 Cr in FY24. This was 0.53% higher than the loss of INR 113.8 Cr in the previous fiscal year. Its operating revenue rose 13.83% to INR 470 Cr during the year under review from INR 412.9 Cr in FY23. The company aims to reach INR 650 Cr in revenue for FY25 and is also targeting an initial public offering (IPO) in 2027. Wow! Momo’s latest debt investment comes weeks after it was reported that the startup was raising INR 150 Cr in its bridge funding round led by Haldiram’s promoter Kamal Agrawal and Malaysia’s wealth fund Khazanah Nasional. This also comes at a time when Wow! Momo is planning to raise $75- 80 Mn in its next funding round, which is expected to close by the third quarter of FY26. Wow! Momo is also planning to scale-up its FMCG vertical to INR 100 Cr and ramp up the newly launched Hotels, restaurants and cafes (HORECA) arm this year. It also aims to add 200-250 retail outlets to its network within the next 12-14 months. Wow! Momo operates fast-food brands such as Wow! Chicken, Wow! Kulfi and Wow! China. It also sells a variety of frozen food via its FMCG vertical. It relies heavily on food delivery apps Zomato and Swiggy to sell its products. However, it now plans to launch its own delivery app, Wow! Eats."
Announcing The D2C & Retail Summit — Shaping The Future Of New Commerce In India...,https://inc42.com/buzz/announcing-the-d2c-retail-summit-shaping-the-future-of-new-commerce-in-india/,https://inc42.com/cdn-cgi/image/quality=75/https://asset.inc42.com/2025/06/Feature-1-1-490x367.jpg,Team Inc42,"10th June, 2025",News,The sixth edition of Inc42’s most anticipated D2C summit is taking place on July 25 in Gurugram to spotlight the rise of new commerce.,"Driven by the spending power of 190 Mn+ online shoppers, India’s D2C ecosystem is undergoing a rapid transformation, rewriting what scale, loyalty, and distribution look like in 2025. From a VC funding lens, India’s D2C sector closed 2024 with $595 Mn, which has already been outpaced by the momentum of 2025. Just a few months into the year, some of the largest deals in the ecosystem have taken shape. Drools became the first Indian pet care company to enter the unicorn club. In another landmark deal, HUL acquired skincare brand Minimalist for INR 2,955 Cr. On the funding front, fashion label Snitch raised $40 Mn, Farmley and Foxtale secured $40 Mn and $30 Mn respectively, while Pilgrim brought in $23.3 Mn, signalling strong investor appetite across categories. ​​Whether through FAST42 Ranking or D2CX, Inc42 has been a driving force behind India’s D2C boom — spotlighting breakout brands and backing founders at every stage, from hands-on learning for early-stage entrepreneurs to curated retreats for growth-stage leaders. A key pillar of our efforts is The D2C Summit, which has grown from a virtual gathering in 2021 to a high-conviction in-person summit by 2024. In 2025, we are back, but as the D2C &amp; Retail Summit. Why The Shift From D2C To D2C &amp; Retail? As consumer behaviour evolves, the lines between digital-first D2C brands and traditional retail are fading fast. Digital-first brands like Mamaearth, Plum, and Snitch have gone beyond D2C — expanding into brand outlets, kiranas, and modern trade formats. At the same time, legacy giants like Tata, Reliance, and Marico are borrowing from the D2C playbook — embracing agile GTM strategies, influencer-led marketing, and hyper-personalised CX, while also backing new-age brands through strategic investments and acquisitions. Scheduled for July 25 at The Oberoi, Gurugram, The D2C &amp; Retail Summit 2025 will bring together 300 handpicked D2C and retail industry leaders, investors and ecosystem enablers under one roof to shape the next phase of new commerce in India. The New Commerce Era Is Here According to Inc42 estimates, India’s D2C market is projected to cross $300 Bn by 2030, making up 75% of the country’s $400 Bn ecommerce opportunity. This growth is no longer defined by whether a brand is digital or physical — it’s about how effectively it integrates both. Even Gen Z, India’s most digital-native generation, is hybrid in behaviour. While they rely on quick commerce platforms like Zepto, Blinkit, and Instamart for convenience, they also actively seek in-store experiences in categories like personal care, groceries, and home products. Studies suggest that nearly 50% of Gen Z prefers offline in these verticals. That’s why omnichannel is no longer optional, it’s the default growth strategy. It unlocks multiple revenue streams, boosts brand recall, and allows brands to scale across Tier II–IV markets and international shelves. But winning here demands more than distribution muscle — it needs tech-first execution. Forward-thinking brands are already tapping AI and real-time data to build intelligent discovery journeys, manage inventory, and create high-retention experiences across channels. As D2C and retail converge, new commerce is emerging as the next operating system for Indian retail — one where tech, capital, consumer intelligence, and distribution intersect. Supported by the likes of Shadowfax, Simpl, Peak XV and Rukam Capital, the D2C &amp; Retail Summit 2025, Inc42 will spotlight this evolution — decoding how new-age brands can scale smarter, faster, and deeper by building for both Bharat and the global consumer. What To Expect At The D2C &amp; Retail Summit Instead of broad, thematic discussions, this year’s summit is built around practical insight and operator-led narratives — designed for founders, CXOs, who are actively shaping India’s commerce infrastructure.   Here’s what makes this edition worth tuning into: Beyond Vanity Panels: Expect 15+ sessions where the focus is on challenges, playbooks, and trade-offs — whether it’s scaling from 0 to 100 stores, managing cash-efficient omnichannel rollouts, or integrating AI into personalisation and inventory. Contrasting Perspectives: With a mix of new-age D2C disruptors and traditional retail giants on stage, attendees will get a rare window into how the two worlds are learning from (and competing with) each other. Think founders of breakout brands sharing stage time with heads of retail at legacy conglomerates. Insights Backed By Execution: The speaker lineup features 40+ leaders across D2C brands, quick commerce players, retail conglomerates, and investors — people who are not just predicting trends but actively executing at scale. Curated Interactions: The invite-only format will enable closed-door interactions, peer learning, and strategic conversations that don’t get drowned out by scale. Learning That Sticks: From understanding unit economics of omnichannel GTM to decoding what Tier II–IV consumers want in 2025, the summit’s goal is to equip attendees with actionable frameworks — not generic foresight. And everything else about navigating the complexity that follows scale for India’s retail brands — from hiring and offline distribution to brand building, retention, and sustainable growth. Whether you're scaling a D2C brand or transforming a retail legacy, this is your chance to be in the room where the future of Indian commerce is being written. As we officially unveil the D2C &amp; Retail Summit 2025, attendee applications are already pouring in. With limited spots available, this is your chance to secure a seat at the industry's most influential gathering. Don’t miss out."
BYJU’S-Owned US Firms Sold At Knockdown Prices,https://inc42.com/buzz/byjus-owned-us-firms-sold-at-knockdown-prices/,https://inc42.com/cdn-cgi/image/quality=75/https://asset.inc42.com/2025/06/byjus-claims-featured-490x367.jpg,Kartikay K.,"10th June, 2025",Edtech,Tynker and Epic! bought by BYJU’S in US were sold off by the group of lenders who had sued it for a repayment of $1.2 Bn term loan.,"Two edtech firms bought by BYJU’S during its US stint were reportedly sold off by the group of lenders who had sued it for a repayment of $1.2 Bn term loan B (TLB). In a bid to settle accounts, both these subsidiaries Tynker and Epic! were sold at a massive haircut. While Tynker was bought by computer science learning platform CodeHS for $2.2 Mn in a cash deal, which is almost a 99% reduction from $200 Mn paid by BYJU’S when it acquired the coding platform back in 2021, Epic! was snapped up by Chinese education company TAL Education Group at a steep discount of 81% for $95 Mn. BYJU’S doled out $500 Mn while acquiring Epic! in 2021, An EdWeek Brief Market report said that the acquisitions were approved by US bankruptcy court Judge Brendan Shannon in a May 20 hearing. The deal is a part of the Bengaluru-based BYJU’S $1 Bn expansion plan in the US. Founded in 2013 by Suren Markosian and Kevin Donahue, Epic! provides kids and their parents access to books and quizzes so that children could learn from anywhere. While Tynker, founded in 2012, is a K-12 creative coding platform that enables students to develop coding skills to design and power animations, games, music, robots and drones, smart devices, virtual worlds and more. The above fire sales were part of BYJU’S bankruptcy process in the US which involved an unpaid term loan of $1.2 Bn. According to Inc42’s analysis, the edtech major had been on an acquisition spree in the year 2021. In fact, between 2017 and 2021, BYJU’S made 17 buyouts and spent about $3 Bn to expand its edtech empire. Back then, the startup cited product line and user base expansions behind these acquisitions. BYJU’S US Bankruptcy Saga At the heart of the fire sale of Epic! And Tynker is BYJU’S bankruptcy case against the edtech company. BYJU’S Alpha, a bankrupt US-based subsidiary of the edtech company had faltered on paying back a term loan of $1.2 Bn which was facilitated by 37 different credit institutions. Due to mounting losses and freefall in revenues, BYJU’S could not pay back its loans and its US lenders dragged the company to court. Besides, it also surfaced that out of the term loan, BYJU’s had made fraudulent transfers of $533 Mn to Camshaft Fund. In March, A US bankruptcy court ruled in favour of the lenders of BYJU’S in connection with the above case. It is pertinent to note that while the foregone edtech major had invested $700 Mn for acquiring Tynker and Epic!, the liquidation process part of the bankruptcy proceedings could only fetch a little more than $97 Mn. BYJU’S is also facing insolvency proceedings in India and recently the brother of BYJU’S cofounder Byju Raveendran’s and former director of the edtech Riju Raveendran moved the National Company Law Tribunal (NCLT) seeking the removal of its US-based lenders from the committee of the creditors."
"Semicon Push: Kaynes, L&T Arm To Buy Fujitsu’s Power Modules Biz",https://inc42.com/buzz/semicon-push-kaynes-lt-arm-to-buy-fujitsus-power-modules-biz/,https://inc42.com/cdn-cgi/image/quality=75/https://asset.inc42.com/2025/06/semiconductor-490x367.jpg,Amit Singh,"10th June, 2025",News,Kaynes Semicon and L&T Semiconductor Technologies are set to acquire the power modules business of Japan’s Fujitsu for INR 118 Cr.,"Kaynes Semicon and L&amp;T Semiconductor Technologies (LTSTC) are set to acquire the power modules business of Japan’s Fujitsu General Electronics for INR 118.32 Cr (around $13.8 Mn). As part of the deal, Fujitsu will transfer its power modules business to LTSTC, the fabless chip company of Larsen &amp; Toubro, and transfer the related production facilities to Kaynes Semicion, a subsidiary of electronics manufacturing company Kaynes Technologies, which is setting up INR 3,300 Cr semiconductor manufacturing unit in Gujarat’s Sanand. Fujitsu is involved in developing, manufacturing, and selling electronic devices and manufacturing equipment for information and communications in the tech solution business. In India, the Japanese tech titan houses a research facility named Fujitsu Research of India Pvt Ltd (FRIPL). The centre was set up in 2022 in Bengaluru to strengthen its R&amp;D capabilities in AI, machine learning and quantum software. “The company has decided to transfer the business as part of a portfolio transformation of the electronic device business in line with strengthening the company group’s business foundations,” Fujitsu said in a statement yesterday. Meanwhile, Kaynes Semicon is set to emerge as a new major player in the power electronics supply chain following the deal, which is expected to finalise on June 23. This move will establish the Bengaluru-based company as a significant new player, according to its CEO, Raghu Panicker, as reported by ET. Panicker stated that the company's new OSAT (outsourced semiconductor assembly and test) facility in Sanand will kick off operations by concentrating on the global power device packaging market. He further explained that this venture is backed by two crucial elements: a multi-million-dollar, high-volume service agreement with customer Alpha and Omega Semiconductor (AOS) and the acquisition of three power packaging lines from Fujitsu Electronics Ltd Japan. The collaboration with AOS will involve core power devices such as IGBTs, power modules, and MOSFETs, with an anticipated annual production of approximately 670 million units. Additionally, the acquired Fujitsu technology will immediately provide the capability to produce high-reliability automotive and industrial-grade power modules, adding about 0.6 million units to their monthly production capacity. India’s Semiconductor Ambitions It is to be noted that Kaynes Semicon is one of the four companies building semiconductor units in the country under the India Semiconductor Mission 1.0. In September last year, the Centre approved Kaynes’ proposal to set up a semiconductor unit in Sanand in Gujarat that will see an initial investment of INR 3,300 Cr. Once operationalised, the facility will have a capacity of 60 Lakh chips a day. Earlier, it was reported that Kaynes Semicon is planning to deliver India’s first packaged semiconductor chip by July 2025. Earlier this week, the Union government also approved the proposals of US-based Micron Semiconductor and IPO-bound Aequs to set up special economic zones to boost semiconductor and electronics manufacturing in the country. These developments come amid increasing demand for semiconductors in the country, which is being fueled by rising demand for consumer electronic devices and emerging sectors such as AI and electric vehicles. As per MeitY secretary S Krishnan, India’s semiconductor demand is expected to reach $100-110 Bn by 2030 from the current demand of $45–50 Bn. In March, Krishnan also said that the second phase of India Semiconductor Mission is currently in the works. Semicon 2.0 will ensure that designing, manufacturing and packaging semiconductor chips move up the value chain and that made-in-India products find a ready market, he said then. To further embolden India’s position as a semiconductor manufacturing hub, the Centre greenlit an INR 76,000 Cr incentive plan for the semiconductor industry in 2021. The move widely interpreted as a strategy to lure foreign chip giants to invest and set up operations in the country has yielded positive results so far. US chip giant Micron Technology, which is setting up a $825 Mn semiconductor unit in Gujarat, is set to roll out the first India-made chips in the first half of 2025. Taiwan’s Powerchip Semiconductor Manufacturing Corp has also joined hands with Tata Electronics to establish a semiconductor fabrication plant in Gujarat. The likes of Microsoft, Amazon and Google have also announced billions of dollars of investment in India’s cloud computing and AI infrastructure, which is expected to further bolster demand for semiconductors in the country."
Meesho Converts Into Public Entity In Run-Up To IPO,https://inc42.com/buzz/meesho-converts-into-public-entity-in-run-up-to-ipo/,https://inc42.com/cdn-cgi/image/quality=75/https://asset.inc42.com/2025/06/Meesho-ipo-ftr-490x367.jpg,Anne F.,"10th June, 2025",Ecommerce,D2C ecommerce giant Meesho’s board has approved its conversion into a public entity as it readies for an initial public offering (IPO),"D2C ecommerce giant Meesho’s board has approved its conversion into a public entity as it readies for an initial public offering (IPO). As per the startup’s MCA filing accessed by Inc42, board at Meesho passed a special resolution to convert its name from ‘Meesho Private Limited’ to ‘Meesho Limited’ in their extraordinary general meeting on June 5. The conversion will provide Meesho with increased flexibility in pursuing capital market access and align its corporate structure with regulatory expectations applicable to a company proposing to undertake an IPO, the filing added. The filing further said that although the board has not yet approved or initiated the IPO process, but the company aims to maintain readiness from a regulatory and compliance perspective to enable such an offering when deemed appropriate. This comes over a month after the company renamed its parent entity to align corporate and brand identity. Meesho’s IPO Plan Founded in 2015 by IIT alumni Vidit Aatrey and Sanjeev Barnwal, Meesho is India’s third-largest ecommerce platform by GMV. The company counts DST Partners, Tiger Global Management, Peak XV Partners, Elevation Capital, Facebook and Prosus among its investors. Earlier this month, the SoftBank-backed ecommerce platform received approval from its shareholders for a proposal to issue 411.4 Cr bonus shares ahead of filing its draft red herring prospectus (DRHP) with markets regulator SEBI. The Bengaluru-based startup is said to be looking to raise nearly $1 Bn through its public listing by the end of 2025. It has picked Morgan Stanley, Kotak Mahindra Capital and Citi as bankers for its IPO. The bankers have reportedly pitched for a $10 Bn valuation for the public issue. Meesho managed to narrow its net loss by 81.8% to INR 304.9 Cr in the financial year 2023-24 (FY24) from INR 1,675 Cr in the previous year. Its operating revenue zoomed 32.8% to INR 7,614.9 Cr in FY24, from INR 5,734.5 Cr, a year ago. Several Indian startups are converting into public entities, including omnichannel eyewear retailer Lenskart, Media-focused SaaS unicorn Amagi, fintech unicorn Pine Labs, and Walmart-owned PhonePe, preparing for IPOs. Many other companies are also planning to go public in the future."
