Title,URL,Author,Date,Description,ArticleBody
"With a focus on meals below Rs 150 and offline-equal prices, Rapido’s Ownly is a zero commission food delivery model for Bharat",https://www.moneycontrol.com/news/business/startup/with-a-focus-on-meals-below-rs-150-and-offline-equal-prices-rapido-s-ownly-is-a-zero-commission-food-delivery-model-for-bharat-13107412.html,Unknown,"June 10, 2025 / 16:12","Rapido will aim to take on the long held duopoly enjoyed by Zomato and Swiggy in the online food delivery space. As it happens, Swiggy is an investor in Rapido.","“Every person should have the luxury of choice and the ability to order a reasonably priced meal"" is Rapido’s mission as it firms up plans to enter the food delivery market, with an initial pilot in Bengaluru, and disrupt the duopoly that Zomato and Swiggy have long enjoyed.

According to its pitch to restaurateurs, a copy of which Moneycontrol has reviewed, Rapido is calling its food delivery offering as “Ownly”. While there are chances that the name of the business unit changes closer to time, the company’s goal, of making meals more affordable to consumers, will remain unchanged.

Under the current regime, several restaurant owners have accused Zomato and Swiggy of high commissions, preferential treatment, higher customer acquisition costs (CACs) and more. Together, all of those reasons have forced business owners to look beyond the two companies for a third alternative.

In the past, Coca Cola-backed Thrive attempted food delivery and positioned itself as a challenger but ultimately had to shutter operations as the business failed to take off.

However, there are more options. Government-backed Open Network for Digital Commerce (ONDC), Zomato-funded Magicpin, Zepto Cafe, Blinkit’s Bistro, Swish and more, are all growing but are yet to reach a meaningful scale which will disrupt the Zomato and Swiggy food delivery duopoly.

While Zomato completes over 2.5 million food deliveries each day, Swiggy does over 2 million food deliveries each day. The two companies together account for a 95 percent market share in the food delivery industry which is over $8 billion in size.

However, there are challenger brands emerging.

Rapido, in its pitch, said it enables 4 million rides in 500 Indian cities and has 30 million monthly active users, which positions it as a strong challenger brand, especially given its scale.

Rapido is also playing on another key theme: ensuring that online prices are at par with prices offline. “We will only be looking to work with partners who can commit to this stand of honest pricing,” Rapido said in its proposal.

Rapido plans to do that through zero commissions on food delivery, not allowing restaurants to charge packaging costs separately and not leveraging discounts/advertisements as a push to acquire customers, as per the document.

Essentially, Rapido will introduce minimal layers of costs so restaurants can price products at a more reasonable price.

A significant markup, sometimes even a 40 percent increment, in food prices in the online world has proven to be one of the biggest deterrents for users to order food online.

Rapido, however, promises to change that.

“The price of a dish (excluding GST) is the final price the customer pays. There is no other addition from us or a restaurant partner. Offline price = Online price,” Rapido’s proposal document said.

Rapido will charge a flat delivery fee of Rs 25 plus goods and service tax (GST) for all food orders above Rs 100. However, for all food orders that are Rs 100 and below, the delivery cost will be Rs 20. All of this for a standard 4 kilometre radius.

To be sure, the delivery costs will be borne by the restaurant partners and not the customers. In the initial days at least, customers will not pay any amount apart from the food’s costs plus GST.

Essentially, Rapido will introduce minimal layers of costs so restaurants can price products at a more reasonable price.

Swiggy and Zomato currently have several line items such as platform fee, packaging charges, GST on such costs, delivery fee and more, which cumulatively push up prices.

Rapido, however, intends to do away with all of that. Instead, it will make restaurants pay for the delivery and since it will operate a zero commission model, the restaurants can list food items online without a markup. That way, the customer also gets food at a more affordable price.

But, how will Rapido make money?

While these proposals sound enticing for restaurants and customers, Rapido still has a business to run and will need to make so its monthly cash burn of around $5 million does not increase further.

“We hope to bring delivery costs down across the industry…Once we have brought about real structural change in delivery prices, we will look to charge a flat subscription fee from restaurants. We will always remain zero commission,” Rapido’s proposal said.

The model is similar to the arrangement that Rapido has for its core offering, ride-hailing.

Apart from an eventual subscription model, Rapido will also play the volume game. The company aims to bring on new customers in large numbers so they transact more frequently.

“We believe that food continues to get more expensive online. As a result, a bulk of Bharat has been locked out of using online delivery platforms,” Rapido’s proposal read.

To tap new users and make food more affordable for the existing ones, Rapido has mandated its restaurant partners to list at least four meals that are priced at Rs 150 and below, the document showed.

Rapido is betting that affordable food options will attract more transacting users which will eventually drive up volumes and sales. This is also at odds with incumbent giants, Zomato and Swiggy, which are constantly trying to push up average order values (AOVs).

“Think of us as a low cost platform that is looking to get you a large number of new customers,” the document said.

Rapido will also allow restaurant partners to advertise on its platform, and the company will also share data with restaurants for them to drive marketing campaigns, which will further open up revenue streams for Rapido.

In response to Moneycontrol's queries, a Rapido spokesperson said: ""At Rapido, we are constantly looking at opportunities to scale our services and bring greater convenience to our users. In line with this vision, we are currently test piloting an online food delivery app in the city of Bengaluru.""

""The pilot aims to leverage our strong network of captains while assessing the potential to complement our existing services. It’s an exciting opportunity for us to learn, improve, and see how we can add even more value for our consumers. We’ll share more details on our plans as we move forward,"" the spokesperson added.

As the company gears up for a pilot in Bengaluru over the coming week, restaurant owners are excited about a serious third brand that is emerging as a challenger. However, it remains to be seen if Rapido can successfully change the food delivery landscape and force Swiggy, an investor in Rapido, and Zomato to follow suit or will Rapido eventually take the Zomato Swiggy route, too."
EV tech startup Vecmocon raises $18 million in series A led by Ecosystem Integrity Fund,https://www.moneycontrol.com/news/business/startup/ev-tech-startup-vecmocon-raises-18-million-in-series-a-led-by-ecosystem-integrity-fund-13106517.html,Unknown,"June 09, 2025 / 22:34",,"New Delhi-based clean mobility deeptech startup Vecmocon Technologies has raised $18 million in its Series A funding round led by Ecosystem Integrity Fund (EIF), with participation from Aavishkaar Capital, British International Investment (BII), and existing investor Blume Ventures.

Founded in 2016 by Peeyush Asati, Shivam Wankhede, and Adarshkumar Balaraman, alumni of IIT Kanpur, IIT Delhi, and ISB, respectively.

Vecmocon develops safety-critical electronics and software platforms for electric vehicles (EVs). The company provides products such as battery management systems, vehicle intelligence modules, motor controllers, intelligent chargers, and cloud-based analytics.

The core team has expertise in battery modelling, components design, systems architecture, embedded software, and data science.

The company said the funding will be used to expand market presence, strengthen capabilities in embedded design, power electronics, IoT, and data science, and support deployment across more than 100,000 EVs in India. Part of the capital will also go towards team expansion and the development of international-standard R&D infrastructure for the electric automotive sector.

“This infusion of capital will supercharge our efforts to engineer the next generation of the most robust, high-performance, software-defined, and safety-critical systems uniquely tailored for Indian conditions and global deployment in electric vehicles and clean energy systems,"" Peeyush Asati, Chief Executive Officer, Vecmocon Technologies said.

Vecmocon raised $10 million funding in its first phase of Series A funding, led by the Ecosystem Integrity Fund (EIF), while Blume Ventures and British International Investment (BII) also joined the Series A round. Previously the firm raised $5.2 million from Tiger Global, and Blume Ventures in 2022 as part of their pre-series round.

Devin Whatley, Managing Partner, Ecosystem Integrity Fund, said, “At EIF, we’re thrilled to support Vecmocon as it builds the technical backbone for India’s rapidly expanding EV ecosystem. Its cutting-edge solutions unlock smarter, safer, and more reliable EVs – accelerating the shift to sustainable transportation.”

The company currently employs over 215 people and has its solutions deployed in more than 100,000 EVs across two-wheelers, three-wheelers, and light commercial vehicles."
"Zomato introduces long-distance fee, rider assurance plan for restaurants to boost order margins",https://www.moneycontrol.com/news/business/startup/zomato-introduces-long-distance-fee-rider-assurance-plan-for-restaurants-to-boost-order-margins-13106255.html,Unknown,"June 09, 2025 / 19:15","Zomato's parent, Eternal, has also proposed a new visibility assurance plan for brands where they can pay around Rs 6,000-6,500 each month, for each restaurant identification (RID), and boost rider availability for their business, sources told Moneycontrol.","Eternal, the parent of food delivery giant Zomato, has made it costlier for restaurants to service orders, especially the ones that come from a few kilometres away, as the company looks to make each order more profitable.

Zomato is now asking restaurants to pay the platform an additional ‘long distance fee’ on orders that are delivered beyond 4 kilometres. In its latest communication, a copy of which Moneycontrol has reviewed, restaurants will have to pay Zomato an additional Rs 20 per order in long distance fee if the delivery location is 4-6 kilometres away from the restaurant or cloud kitchen and if the order value is above Rs 150.

If the delivery location is more than 6 kilometres away, the fee is doubled, and restaurants will be required to pay Zomato Rs 40 per order for the same order value.

For smaller orders, that fall in the Rs 0-150 price bracket, restaurants will not have to pay any additional charges if the food is delivered within 6 kilometres.

However, if these small orders are delivered beyond 6 kilometres, Zomato will collect Rs 40 per order from the restaurant, Moneycontrol has learnt.

“Our endeavor is that each order should be profitable for you, and us,” Eternal said in its communication. No such fee was in place earlier.

Four restaurant owners that Moneycontrol spoke with said Eternal has begun making these proposals only in the past few days. The additional fee, which they said will deter them from servicing orders that come from far away, will be rolled out soon.

To be sure, the additional long distance fee will differ slightly for different restaurant partners, depending on their arrangements with Eternal/Zomato.

However, the total amount payable to Zomato, including the latest fee and other components, will be capped at 30 percent of the order value which essentially means no restaurant partner will pay more than 30 percent of the order value in commissions, as per a separate document reviewed by Moneycontrol.

Eternal did not immediately reply to Moneycontrol’s queries.

To be sure, Zomato will levy these additional charges only on its restaurant partners and not on customers, yet. Customers will continue to pay the same delivery fee as they pay currently, for all food deliveries placed on Zomato for now.

Zomato Gold, the company’s loyalty programme, users will also continue to enjoy the benefits of free delivery according to the terms and conditions present at the time of enrolment.

The company is yet to decide if it will tweak the delivery fee for users.

Zomato's key rival Swiggy allows owners to opt in and opt out of such programmes.

Zomato visibility assurance

Apart from an additional fee, Eternal is introducing additional cost layers to make its offerings stand out from rivals and upping its ante in an increasingly competitive food delivery environment, especially when new players like Rapido are firming up plans to enter the food delivery space and challenge the duopoly of Zomato and Swiggy.

Zomato has also proposed a new visibility assurance plan for brands where brands can pay around Rs 6,000-6,500 each month, for each restaurant identification (RID), and boost rider availability for their business.

“Under this plan, I am asked to pay around Rs 6,000 for every food brand that I operate and I’ll get riders assigned on priority. That will ensure my orders are serviced faster and there is better customer stickiness,” a restaurant owner told Moneycontrol.

The increased visibility plan is still in the rollout stages and has not been proposed to all partners, it will be done in phases over the coming weeks, the owner added.

With this, Eternal is preparing to have an edge over its peers and also ensuring that riders are paid more, a move that will likely deter them from joining rivals, other upcoming companies or quick commerce firms.

Zomato is asking restaurants to pay up more at a time when food delivery growth has largely been range bound, growing 15-20 percent year-on-year (YoY), which has forced companies to implement new measures and capture more market share."
Fintechs hopeful of revival in credit growth after RBI's big rate cut,https://www.moneycontrol.com/technology/fintechs-hopeful-of-revival-in-credit-growth-after-rbi-s-big-rate-cut-article-13105336.html,Unknown,"June 09, 2025 / 14:33","There are some concerns about the speed of transmission of lower rates to NBFCs and fintechs, with some expecting this to take a quarter but there are others who expect at least six months","Fintechs, especially in the lending space, are hopeful of a revival in credit growth after the Reserve Bank of India (RBI) went for a larger-than-expected 50 basis point cut, bringing down the repo rate down to 5.5 percent.

Most of the fintechs in the lending space cater to the unsecured segment, with small-ticket personal loans accounting for a large share of the portfolio.

On June 6, RBI's Monetary Policy Committee (MPC) decided to cut repo rate by 50 bps to 5.5 percent from 6 percent earlier. Repo rate is the interest rate at which the RBI loans money to commercial banks. The jumbo rate cut comes after two successive rate cuts of 25 bps each in February and April.

“The RBI’s 50 bps rate cut is a strong signal of its intent to support credit-led consumption. Such bold moves have historically been reserved for periods of economic reset and this could mark the beginning of a fresh credit cycle,” said Anup Agrawal, co-founder of Kiwi, a credit card platform on Unified Payments Interface (UPI).

The reduced cost of funds is expected to benefit card issuers, enabling them to expand access and offer more attractive credit products, he said.

In the past 12-18 months, several fintechs have struggled to raise funds as banks found it difficult to get deposits, resulting in a high interest rate regime despite the regulator easing some of the lending norms to ease liquidity.

Many fintech executives attributed the situation to a large amount of public savings going to equity investments.

“Rate cut cycles do lead to a jump in unsecured lending. There is also more margin in the profit and loss account to lend from,” said Prakash Sikaria, founder of UPI and credit app super.money.

Another challenge that fintechs have been facing is the rising non-performing assets (NPAs) in the small-ticket loans. Worried about bad debt, the RBI has nudged financial institutions to slow down the growth in the segment.

Several large private sector banks such as IndusInd Bank and Axis Bank, many NBFCs, and several small finance banks are facing a rise in NPAs.

There are also some concerns about the speed of transmission of lower interest rates to NBFCs and fintechs, with some expecting this to happen in a quarter, while a few others expect this to take six months.

“This should help increase the availability of funds and reduce the cost. However, these actions take some time to trickle down,” said Alok Mittal, co-founder of Indifi Technologies.

However, some founders are still not convinced about the speed of transmission.

“While the rate cut is a welcome signal, it is too early to say if it will actually ease credit access on the ground. Banks may still be cautious in passing on the benefits, especially in co-lending models where operational friction and risk-sharing concerns remain unresolved. Unless transmission improves, fintechs may not see a meaningful impact in terms of easier or cheaper credit,"" said a co-founder of an MSME lending company, who did not wish to be identified.

Some are worried that the RBI’s stance changing from “accommodative” to “neutral” dims the chances of more rate cuts.

“Any further action will depend on how inflation and growth dynamics evolve from here,” said Vijay Kuppa, CEO, InCred Money.

However, one sector that is expected to benefit is the MSME sector.

“There is likely to be increased credit demand from MSMEs, especially in sectors where delays in receivables are a major bottleneck. This is the right environment for financial institutions to double down on digitising their lending operations,” said Raja Debnath, co-founder and CEO at Veefin Group.

India’s MSMEs are grappling with rising input costs, uneven credit access and evolving trade dynamics. While this move supports credit flow, the “neutral” policy stance underscores limited monetary space and a greater reliance on structural solutions.

""SaaS fintechs and NBFCs must now drive credit access through AI-led underwriting and alternative data models. Ensuring this policy transmission reaches micro and underserved businesses will require deeper alignment between digital infrastructure and economic priorities,” said Rohit Arora, CEO and co-founder, Biz2X and Biz2Credit."
"Wellness startup Biopeak raises $3.5 million in seed funding from Ranjan Pai office, Accel's Prashanth Prakash, others",https://www.moneycontrol.com/news/business/startup/wellness-startup-biopeak-raises-3-5-million-in-seed-funding-from-ranjan-pai-office-accel-s-prashanth-prakash-others-13103236.html,Unknown,"June 06, 2025 / 20:57","The company, which opened its first clinic in Bengaluru in March 2025, combines molecular diagnostics, high-resolution imaging, and non-invasive testing to assess early signs of physiological changes.","Bengaluru-based wellness and longevity startup Biopeak has raised $3.5 million in seed funding from Accel founding partner Prashanth Prakash, Claypond Capital (the family office of Manipal Group chairman Ranjan Pai), and NKSquared, the investment vehicle of Zerodha co-founder Nikhil Kamath.

The company will use the funds to expand its clinic presence across key cities and further develop its science and AI platform, which supports its diagnostic and care delivery model, co-founder and CEO Rishi Pardal said.

Founded in 2024 by Pardal and Shiva Subramanian, Biopeak provides personalised health services through in-house clinics. Its approach combines molecular diagnostics, high-resolution imaging, and non-invasive testing to assess early signs of physiological changes. The company opened its first clinic in Bengaluru in March 2025.

At the core of Biopeak’s offering is a diagnostic system that includes tests like organic acid profiling, microbiome mapping, salivary cortisol rhythms, and whole-exome functional genomics. These are paired with imaging tools such as MRI, CT, DXA, and ECHO, as well as tissue-level screenings that examine markers like mineral levels, toxin load, and oxidative stress.

“We’re at a rare moment in time- where advances in molecular science, AI, and diagnostic precision now make it possible to understand the body like never before and take highly customised, timely actions to maximise your healthspan. Biopeak, with its deep science and multidisciplinary team of experts, turns insight from your body into action and measurable outcomes. The moment is now to take control of your healthspan—because the tools and the science have finally aligned,"" Pardal said.

Each client typically undergoes over six hours of multidisciplinary consultations, guided by a dedicated health manager and a team of specialists. The resulting health plan is revisited over time and refined through follow-up testing.

Biopeak primarily serves two categories of users: those seeking to improve overall health and performance, and individuals managing chronic or complex conditions that may not be adequately addressed by conventional treatment.

The company is also working with institutions like the Indian Institute of Science (IISc) and Longevity India to adapt its models to South Asian health profiles and environments, aiming to improve relevance and accuracy in care.

“As India’s population ages, our greatest opportunity lies in building systems that not only extend life but enhance the years lived in strength, clarity, and purpose. Investing in geroscience, early interventions, and scalable research will be key to ensuring that longevity becomes a foundation for national wellbeing—not a burden on it,"" said Accel's Prashanth Prakash, who is also a mentor to Biopeak and Founding Patron of Longevity India, a platform focused on advancing research and interventions tailored to India’s ageing population."
"Fintech startup Decentro raises Rs 30 cr in series B round led by InfoEdge Ventures, others",https://www.moneycontrol.com/news/business/startup/fintech-startup-decentro-raises-rs-30-cr-in-series-b-round-led-by-infoedge-ventures-others-13103127.html,Unknown,"June 07, 2025 / 11:56","The Y-Combinator-backed firm is also moving its headquarter from Singapore to India, and the process is estimated to be completed within the next 12 months.","Bengaluru-based API banking platform Decentro has raised Rs 30 crore in a series B round led by InfoEdge Ventures, with participation from Stargazer Growth (backed by Groww CEO Lalit Keshre) and existing investors, including Uncorrelated Ventures.

The Y-Combinator-backed firm is also moving its headquarter from Singapore to India, and the process is estimated to be completed within the next 12 months.

The fresh capital will be used to deepen enterprise adoption, enhance product capabilities, and expand overall trade and marketing (GTM) initiatives across financial institutions, including banks, non-banking financial companies (NBFCs), fintech platforms, and digital lenders.

“Our goal has always been to make financial and banking infrastructure simple, secure, and reliable at scale,” said Rohit Taneja, Co-founder and CEO of Decentro. “This fundraise allows us to double down on what’s working well — deep partnerships with enterprise customers and building products that power mission-critical financial flows.""

Founded in 2020 by Taneja and Pratik Daudkhane, Decentro offers payment aggregator, KYC, data intelligence, and debt collection services to enterprises, including banks, NBFCs, and other companies. It claims to power over 1,300 platforms and firms, such as CRED, MakeMyTrip, Meesho, MoneyTap, and AU Small Finance Bank, among others.

Its other investors include Rapyd Ventures and Soma Capital. It recently launched Scanner — a real-time user profiling and risk assessment engine for BFSI, e-commerce and other verticals."
Walmart-owned Flipkart names Ravi Iyer as new CFO,https://www.moneycontrol.com/news/business/startup/walmart-owned-flipkart-names-ravi-iyer-as-new-cfo-13103210.html,Unknown,"June 06, 2025 / 22:07","Sriram Venkataraman will continue to be the CFO of the Flipkart Group, the memo, reviewed by Moneycontrol, showed.","Walmart-owned e-commerce major Flipkart has named Ravi Iyer, Senior Vice President - Corporate Business Unit, as its new chief financial officer (CFO), an internal mail, reviewed by Moneycontrol, showed.

Iyer will take on Marketplace CFO duties in addition to his current charter of Corporate Development, Group Finance Planning and Analysis (FP&A), Investor Relations and the CEO's office, the mail showed.

“As part of his additional responsibilities, he will work closely with leaders across all the functions and business units and will continue to report to me,” Sriram Venkataraman wrote in the internal memo.

The move, effective immediately, comes as Flipkart works towards strengthening its finance leadership and fostering deeper partnerships across the organisation to achieve its priorities for the year, Venkataraman's mail added.

Venkataraman will continue to be CFO of Flipkart Group. Sakait Chaudhary was Flipkart marketplace CFO and was then promoted to become the marketplace lead. Since then, the position of marketplace CFO position, which was vacant, was managed by Venkataraman along with his group CFO responsibilities.

Flipkart did not immediately respond to Moneycontrol’s queries.

As part of the change, Kannan Ganesan, VP – Business Finance Head, Amit Sood, Business Finance Head – eKart and Ashish Surana, Lead – FP&A, Flipkart will now report to Iyer, effective immediately.

Iyer has been with Flipkart for over 11 years and his boss, Venkataraman, has spent nearly a decade at Flipkart.

The changes at Flipkart comes amid increasing competitive intensity in the e-commerce and quick commerce space. The move comes as Flipkart prepares to move its domicile from Singapore to India ahead of a planned IPO."
"Eternal, Swiggy together add over Rs 30,000 crore in market cap this week amid headwinds at Zepto",https://www.moneycontrol.com/news/business/startup/eternal-swiggy-together-add-over-rs-30-000-crore-in-market-cap-this-week-amid-headwinds-at-zepto-13102953.html,Unknown,"June 06, 2025 / 17:39","While Eternal led the charge by adding Rs 20,217.48 crore in market capitalisation, Swiggy added another Rs 10,373.57 crore in market cap this week, NSE data showed. The two companies saw gains during a week when their key rival, Zepto, had a busy week.","Food and grocery delivery companies Eternal (formerly Zomato) and Swiggy together added a whopping Rs 30,590 crore ($3.6 billion) in market capitalisation in just five trading sessions this week from June 2 to June 6, data available on the National Stock Exchange (NSE) at the end of day’s trading showed.

Among the two companies, Eternal led the charge by adding Rs 20,217.48 crore ($2.4 billion) in market capitalisation. Swiggy, on the other hand, added another Rs 10,373.57 crore ($1.2 billion) in market capitalisation this week.

Market capitalisation estimates the company’s value by multiplying the share price into the number of available shares. This week, Swiggy’s share prices increased 12 percent to change hands at around Rs 372 apiece on the NSE. Similarly, Eternal’s share prices were up 8.6 percent this week to trade at Rs 261.9 apiece on the NSE.

The two publicly listed companies, which have been arch rivals for over a decade, saw gains during a week when their key rival, Zepto, had a busy week.

Quick commerce unicorn Zepto, which was earlier slated to go public in 2025, has pushed out its IPO plans into 2026 after investors asked the company to increase revenues and reduce cash burn, Moneycontrol had exclusively reported earlier in the week.

The delayed entry of a third player increases the chances of investors, looking for exposure to the space, to bet on existing companies.

Amid chances of a delayed public market debut, several brands have expressed displeasure with Zepto’s ways of working. Earlier this week, Zepto sent out a memo to its sellers informing them that the platform will now auto-activate ad campaigns for inactive brands, a move that did not go down too well with its partners as it forces them to advertise on the platform.

The auto-activation move came a few weeks after Zepto began testing a ‘swap and buy’ feature which sellers said puts their brands on the backfoot versus other companies.

Zepto also grabbed the spotlight with a flurry of other activities. The Maharashtra Food and Drug Administration (FDA) suspended Zepto’s food license in Dharavi, Zepto’s workers were striking over reduced payout in Hyderabad and the pausing of Zepto Cafe in 44 locations in the Delhi NCR belt have all tipped investor sentiment in the favour of Eternal’s Blinkit and Swiggy’s Instamart.

To be sure, the hiccups at Zepto were not the only reason behind the gains at Eternal and Swiggy.

On June 4, Morgan Stanley initiated coverage on Swiggy with an ‘overweight’ rating which further sent investor sentiment soaring. Morgan Stanley is also part of Zepto’s IPO syndicate, as reported by Moneycontrol earlier.

The brokerage’s investment thesis hinges on three key pillars: Swiggy’s strengthening performance in food delivery, the large and growing addressable market in quick commerce, and a mismatch between investor assumptions on capital outlay versus top line growth.

Morgan Stanley also added that quick commerce, as an industry, will grow to $57 billion by 2030 in size, up from an earlier estimate of $42 billion, which will benefit the entire industry.

Companies were seen capitalising on the growing demand. CLSA, citing Sensor Tower data, said Blinkit and Instamart on a year-to-date (YTD) basis added 9.3 million and 8.2 million weekly active users, respectively.

Zepto and JioMart, on the other hand, added 3.4 million and 3 million active users.

While quick commerce market leader Blinkit continues to cement its position as the top player, Zepto will look to remain the second-largest player in the space and fresh fund infusion to the tune of $700 million from Avenir and General Catalyst will likely help the company grow further. Swiggy on the other hand will look to boost its quick commerce business with profits that it generates from a growing food delivery business.

With inputs from Ravindra Sonavane."
